"","chain1","chain2","chain1_dis","chain2_dis"
"1",0.479222557196785,0.564848960775538,0.5,0.55
"2",0.478496611104934,0.546619800437384,0.5,0.55
"3",0.466327683970646,0.517390658428898,0.45,0.5
"4",0.466327683970646,0.521293987423993,0.45,0.5
"5",0.517090570691644,0.521293987423993,0.5,0.5
"6",0.517090570691644,0.534695587931906,0.5,0.55
"7",0.483073665573337,0.570197716111405,0.5,0.55
"8",0.478693435572105,0.516531460697904,0.5,0.5
"9",0.478693435572105,0.501260922555052,0.5,0.5
"10",0.515599158539084,0.501260922555052,0.5,0.5
"11",0.458274320701709,0.501260922555052,0.45,0.5
"12",0.50165490562404,0.522253140835255,0.5,0.5
"13",0.485518136033043,0.522253140835255,0.5,0.5
"14",0.479646197769904,0.613581609514474,0.5,0.6
"15",0.476399699863563,0.601167332903443,0.5,0.6
"16",0.476399699863563,0.619755183364519,0.5,0.6
"17",0.450704161540621,0.555879079483665,0.45,0.55
"18",0.437118253894481,0.540223674815187,0.45,0.55
"19",0.428077714607805,0.571988009602292,0.45,0.55
"20",0.493876523614371,0.597818414948658,0.5,0.6
"21",0.418981767437891,0.597818414948658,0.4,0.6
"22",0.410948935106023,0.544779968740832,0.4,0.55
"23",0.404595727925117,0.546102158039562,0.4,0.55
"24",0.390845207939742,0.574171602551795,0.4,0.55
"25",0.390845207939742,0.545480342579777,0.4,0.55
"26",0.375363222478897,0.553928555878994,0.4,0.55
"27",0.375363222478897,0.495369486439405,0.4,0.5
"28",0.361747554309059,0.578210081618541,0.35,0.6
"29",0.36165130847414,0.578210081618541,0.35,0.6
"30",0.36165130847414,0.578210081618541,0.35,0.6
"31",0.337092184899642,0.578210081618541,0.35,0.6
"32",0.417191398163484,0.550531412379175,0.4,0.55
"33",0.417191398163484,0.544539576427082,0.4,0.55
"34",0.417191398163484,0.544539576427082,0.4,0.55
"35",0.469698772835765,0.578196857272789,0.45,0.6
"36",0.450503947660939,0.57381046053324,0.45,0.55
"37",0.450503947660939,0.544857671679358,0.45,0.55
"38",0.431345604778548,0.450620420022465,0.45,0.45
"39",0.523427420970669,0.467436727929756,0.5,0.45
"40",0.511106866218752,0.477476633581362,0.5,0.5
"41",0.511106866218752,0.477476633581362,0.5,0.5
"42",0.511106866218752,0.461157543805324,0.5,0.45
"43",0.432489735758594,0.463019226700599,0.45,0.45
"44",0.414041406367168,0.532533226441566,0.4,0.55
"45",0.414041406367168,0.532670132971102,0.4,0.55
"46",0.414041406367168,0.532670132971102,0.4,0.55
"47",0.493586308268549,0.549155456784634,0.5,0.55
"48",0.493586308268549,0.585002783294321,0.5,0.6
"49",0.461099810278653,0.585002783294321,0.45,0.6
"50",0.426860726267077,0.624438018929922,0.45,0.6
"51",0.426860726267077,0.628931459557714,0.45,0.65
"52",0.426860726267077,0.628931459557714,0.45,0.65
"53",0.473071659753511,0.602075403951254,0.45,0.6
"54",0.445938224553463,0.602075403951254,0.45,0.6
"55",0.422300391306597,0.587802690542544,0.4,0.6
"56",0.422300391306597,0.600875155893835,0.4,0.6
"57",0.447154381771891,0.600875155893835,0.45,0.6
"58",0.447154381771891,0.574486155505045,0.45,0.55
"59",0.447154381771891,0.574486155505045,0.45,0.55
"60",0.416486161389671,0.575880280859446,0.4,0.6
"61",0.416486161389671,0.581801755799155,0.4,0.6
"62",0.432840715222765,0.585332998591579,0.45,0.6
"63",0.432840715222765,0.606653830206328,0.45,0.6
"64",0.373657821424479,0.62417590847376,0.35,0.6
"65",0.373657821424479,0.61461784333581,0.35,0.6
"66",0.373657821424479,0.587134110489708,0.35,0.6
"67",0.40109163876205,0.568497503607326,0.4,0.55
"68",0.512838798199654,0.566121784918688,0.5,0.55
"69",0.493259017440014,0.566121784918688,0.5,0.55
"70",0.441492828159929,0.627399917490869,0.45,0.65
"71",0.439928232119446,0.571312599913475,0.45,0.55
"72",0.457745361553533,0.58873772202485,0.45,0.6
"73",0.530598311005664,0.58873772202485,0.55,0.6
"74",0.52019433136286,0.58873772202485,0.5,0.6
"75",0.52019433136286,0.602878144587831,0.5,0.6
"76",0.47737051731703,0.544163681430006,0.5,0.55
"77",0.514007683518895,0.511626046804967,0.5,0.5
"78",0.514007683518895,0.511626046804967,0.5,0.5
"79",0.487163690007843,0.494980502378084,0.5,0.5
"80",0.487163690007843,0.494980502378084,0.5,0.5
"81",0.474916873858088,0.475786210211786,0.45,0.5
"82",0.424294771908951,0.435190845424796,0.4,0.45
"83",0.421437995384893,0.401844288349364,0.4,0.4
"84",0.36695987268202,0.401844288349364,0.35,0.4
"85",0.387753171925526,0.467390941733578,0.4,0.45
"86",0.406948046906086,0.467390941733578,0.4,0.45
"87",0.489837388963586,0.502298107940768,0.5,0.5
"88",0.450025707123289,0.50849120287254,0.45,0.5
"89",0.439489716150148,0.536906803031759,0.45,0.55
"90",0.45889581737674,0.541858219295215,0.45,0.55
"91",0.45889581737674,0.528193597776884,0.45,0.55
"92",0.450879927277563,0.587484861751971,0.45,0.6
"93",0.41585708148998,0.587484861751971,0.4,0.6
"94",0.41585708148998,0.533350419280833,0.4,0.55
"95",0.41585708148998,0.491440143055153,0.4,0.5
"96",0.444890971811271,0.491440143055153,0.45,0.5
"97",0.428147710850477,0.493975751172641,0.45,0.5
"98",0.465270164715931,0.493975751172641,0.45,0.5
"99",0.476816276082995,0.465746531559808,0.5,0.45
"100",0.520460935171166,0.465746531559808,0.5,0.45
"101",0.565236336323418,0.503682586837946,0.55,0.5
"102",0.565236336323418,0.582988305893632,0.55,0.6
"103",0.565236336323418,0.520332065663085,0.55,0.5
"104",0.488122024403448,0.571117122528129,0.5,0.55
"105",0.488122024403448,0.638290674017479,0.5,0.65
"106",0.412418151548002,0.638290674017479,0.4,0.65
"107",0.412418151548002,0.638290674017479,0.4,0.65
"108",0.414016118961698,0.638290674017479,0.4,0.65
"109",0.429840762824023,0.598256095551231,0.45,0.6
"110",0.40796391987898,0.574638625972613,0.4,0.55
"111",0.477336786165539,0.574638625972613,0.5,0.55
"112",0.44944649671067,0.568961309991685,0.45,0.55
"113",0.44944649671067,0.572752155011417,0.45,0.55
"114",0.44944649671067,0.537007452038516,0.45,0.55
"115",0.508447891048215,0.486122333498999,0.5,0.5
"116",0.419957817128491,0.50823215518367,0.4,0.5
"117",0.469784645545669,0.532234463063029,0.45,0.55
"118",0.515289141692594,0.512893603504213,0.5,0.5
"119",0.45880132641895,0.51427555696537,0.45,0.5
"120",0.427652845473167,0.517982804243903,0.45,0.5
"121",0.430670715236784,0.513757507893645,0.45,0.5
"122",0.430670715236784,0.491400535304173,0.45,0.5
"123",0.4753449798385,0.535073214716373,0.5,0.55
"124",0.462994491898939,0.619042058422195,0.45,0.6
"125",0.462994491898939,0.619042058422195,0.45,0.6
"126",0.462994491898939,0.588185733264521,0.45,0.6
"127",0.412234097700977,0.52308783293143,0.4,0.5
"128",0.412234097700977,0.555302522918274,0.4,0.55
"129",0.391438274080683,0.654447565238302,0.4,0.65
"130",0.442953179638289,0.639683923231307,0.45,0.65
"131",0.378715285282489,0.616023536042753,0.4,0.6
"132",0.416552310114421,0.589356170007031,0.4,0.6
"133",0.454911934289469,0.515528170668582,0.45,0.5
"134",0.430775624809516,0.560121525530455,0.45,0.55
"135",0.430775624809516,0.535265550709261,0.45,0.55
"136",0.39927431119442,0.527928279383643,0.4,0.55
"137",0.39927431119442,0.527928279383643,0.4,0.55
"138",0.502209114380361,0.517403048370824,0.5,0.5
"139",0.466109224561883,0.517403048370824,0.45,0.5
"140",0.466109224561883,0.527872238782565,0.45,0.55
"141",0.466568770359828,0.527872238782565,0.45,0.55
"142",0.464545531937995,0.501621596549077,0.45,0.5
"143",0.464545531937995,0.501621596549077,0.45,0.5
"144",0.462626610837349,0.551869686557101,0.45,0.55
"145",0.457663587819719,0.533989337670857,0.45,0.55
"146",0.497830476806171,0.533989337670857,0.5,0.55
"147",0.481250231809205,0.595780343686097,0.5,0.6
"148",0.481250231809205,0.582068253670528,0.5,0.6
"149",0.466028410880462,0.572591571108675,0.45,0.55
"150",0.393959529615974,0.605340658616822,0.4,0.6
"151",0.439037126132353,0.572110277341815,0.45,0.55
"152",0.389987502039591,0.547926904033044,0.4,0.55
"153",0.389987502039591,0.578394020495503,0.4,0.6
"154",0.462308535524076,0.578394020495503,0.45,0.6
"155",0.464209945878232,0.578394020495503,0.45,0.6
"156",0.464209945878232,0.578394020495503,0.45,0.6
"157",0.446376103106787,0.578394020495503,0.45,0.6
"158",0.446376103106787,0.574123314455618,0.45,0.55
"159",0.500480832004789,0.574123314455618,0.5,0.55
"160",0.485301206509125,0.557112290122711,0.5,0.55
"161",0.469817763336532,0.53487468225324,0.45,0.55
"162",0.469817763336532,0.512243616373474,0.45,0.5
"163",0.469817763336532,0.546946916514635,0.45,0.55
"164",0.469817763336532,0.577706170309581,0.45,0.6
"165",0.469817763336532,0.544432170395037,0.45,0.55
"166",0.461204853958256,0.544432170395037,0.45,0.55
"167",0.461204853958256,0.525344054046322,0.45,0.55
"168",0.443844938149294,0.537616276961572,0.45,0.55
"169",0.436918342237307,0.537616276961572,0.45,0.55
"170",0.408018356106321,0.537616276961572,0.4,0.55
"171",0.401388258348633,0.55098467016431,0.4,0.55
"172",0.437375987652513,0.55098467016431,0.45,0.55
"173",0.437375987652513,0.57302559694123,0.45,0.55
"174",0.451932201707676,0.57302559694123,0.45,0.55
"175",0.451932201707676,0.560590335222598,0.45,0.55
"176",0.451932201707676,0.560590335222598,0.45,0.55
"177",0.471042158585533,0.486965136762623,0.45,0.5
"178",0.471042158585533,0.54148369647885,0.45,0.55
"179",0.471042158585533,0.54148369647885,0.45,0.55
"180",0.429348516690942,0.540056191102303,0.45,0.55
"181",0.454225953836566,0.518672667610809,0.45,0.5
"182",0.423966289983282,0.559780319799575,0.4,0.55
"183",0.39532440974702,0.493315308654163,0.4,0.5
"184",0.39532440974702,0.604183716126574,0.4,0.6
"185",0.421824143361817,0.604183716126574,0.4,0.6
"186",0.467835808259206,0.604183716126574,0.45,0.6
"187",0.467835808259206,0.604183716126574,0.45,0.6
"188",0.498268768274842,0.604183716126574,0.5,0.6
"189",0.515365495267845,0.60575497891721,0.5,0.6
"190",0.509459249127791,0.60575497891721,0.5,0.6
"191",0.474689730092673,0.577189040116324,0.45,0.6
"192",0.465067731660224,0.56519251546485,0.45,0.55
"193",0.434259897658441,0.602402390742391,0.45,0.6
"194",0.466453392061638,0.608921453950799,0.45,0.6
"195",0.466453392061638,0.53680406023102,0.45,0.55
"196",0.44275185894726,0.564046203709978,0.45,0.55
"197",0.487756271553047,0.605155915779929,0.5,0.6
"198",0.47518472853638,0.629411568442046,0.5,0.65
"199",0.418329733357395,0.622103805191019,0.4,0.6
"200",0.418329733357395,0.622103805191019,0.4,0.6
"201",0.466786498445738,0.527257215398588,0.45,0.55
"202",0.466786498445738,0.559625947517921,0.45,0.55
"203",0.546355994798915,0.504416795004855,0.55,0.5
"204",0.4789888619099,0.56808447509682,0.5,0.55
"205",0.511269925034541,0.532115599606162,0.5,0.55
"206",0.485365685162086,0.532115599606162,0.5,0.55
"207",0.443535400058331,0.490531869786845,0.45,0.5
"208",0.555699747270511,0.472908646644307,0.55,0.45
"209",0.555699747270511,0.537338743205556,0.55,0.55
"210",0.555699747270511,0.509395240794108,0.55,0.5
"211",0.43202281373336,0.536356644277119,0.45,0.55
"212",0.443680702325239,0.548917059164028,0.45,0.55
"213",0.443680702325239,0.525095250162737,0.45,0.55
"214",0.434282792824855,0.539995337877743,0.45,0.55
"215",0.470575069481499,0.522945280714071,0.45,0.5
"216",0.530485600794584,0.534052719318834,0.55,0.55
"217",0.458777863446371,0.563884925342586,0.45,0.55
"218",0.533841818587472,0.548570654396558,0.55,0.55
"219",0.488818159240085,0.504721458324539,0.5,0.5
"220",0.470219898783091,0.504721458324539,0.45,0.5
"221",0.470219898783091,0.495003559066613,0.45,0.5
"222",0.428353824277249,0.527987376397063,0.45,0.55
"223",0.440195513061967,0.489142818359951,0.45,0.5
"224",0.442533643596031,0.489142818359951,0.45,0.5
"225",0.439722720358536,0.489142818359951,0.45,0.5
"226",0.484276344585534,0.514607178144774,0.5,0.5
"227",0.45133651213627,0.529446251157806,0.45,0.55
"228",0.45133651213627,0.529446251157806,0.45,0.55
"229",0.406947407748936,0.53918538629092,0.4,0.55
"230",0.406947407748936,0.53918538629092,0.4,0.55
"231",0.421673389200549,0.502283203295572,0.4,0.5
"232",0.461559967623877,0.53895552996228,0.45,0.55
"233",0.461559967623877,0.555887161811477,0.45,0.55
"234",0.471927712960468,0.552890408740965,0.45,0.55
"235",0.441771695912355,0.547068670130964,0.45,0.55
"236",0.454464097129691,0.508183295954554,0.45,0.5
"237",0.454464097129691,0.557608071815631,0.45,0.55
"238",0.454464097129691,0.583578323276458,0.45,0.6
"239",0.454464097129691,0.576348661518831,0.45,0.6
"240",0.454464097129691,0.545580895033099,0.45,0.55
"241",0.454464097129691,0.588145558772529,0.45,0.6
"242",0.417818240046801,0.496360697940637,0.4,0.5
"243",0.417818240046801,0.496360697940637,0.4,0.5
"244",0.417818240046801,0.496360697940637,0.4,0.5
"245",0.417818240046801,0.485394389113588,0.4,0.5
"246",0.432748576568629,0.503802310783554,0.45,0.5
"247",0.400946770440815,0.503802310783554,0.4,0.5
"248",0.400946770440815,0.454318109283826,0.4,0.45
"249",0.471428629099173,0.501658015882001,0.45,0.5
"250",0.436318918877451,0.501658015882001,0.45,0.5
"251",0.436318918877451,0.504229556051909,0.45,0.5
"252",0.497877774145358,0.504229556051909,0.5,0.5
"253",0.467660654618436,0.485356933658549,0.45,0.5
"254",0.408176775599622,0.551286064432656,0.4,0.55
"255",0.462039553080125,0.579881548209471,0.45,0.6
"256",0.455142285062532,0.579881548209471,0.45,0.6
"257",0.441333311593476,0.532755156531641,0.45,0.55
"258",0.462844564886429,0.522105384066744,0.45,0.5
"259",0.50731266848426,0.603247333085584,0.5,0.6
